year,type,title,author
1980,Nonfiction,The Ecology of Human Development,Urie Bronfenbrenner
1980,Nonfiction,The !Kung San,Richard Borshay Lee
1979,Nonfiction,The Bushmen,"Phillip V. Tobias, ed."
1978,Nonfiction,The Legacy of Malthus,Allan Chase
1978,Nonfiction,The Woman Warrior,Maxine Hong Kingston
1977,Nonfiction,Simple Justice,Richard Kluger
1977,Nonfiction,Years of Infamy,Michi Weglyn
1976,Nonfiction,The War Against the Jews,Lucy S. Dawidowicz
1976,Nonfiction,The Arabs,Thomas Kiernan
1976,Nonfiction,The Myth of the Jewish Race,Raphael Patai
1975,Nonfiction,"Roll, Jordan, Roll",Eugene D. Genovese
1975,Nonfiction,The Aryan Myth,Leon Poliakov
1974,Nonfiction,Doctor and the Aborigines,Charles Duguid
1974,Nonfiction,The Unfinished Quest of Richard Wright,Michel Fabre
1974,Nonfiction,Justice in South Africa,Albie Sachs
1974,Nonfiction,The Dreyfus Case,Louis Snyder
1973,Nonfiction,The Water Is Wide,Pat Conroy
1973,Nonfiction,Men & Brothers,Betty Fladeland
1973,Nonfiction,Behind Ghetto Walls,Lee Rainwater
1972,Nonfiction,The Black Image in the White Mind,George M. Fredrickson
1972,Nonfiction,Outcasts from Evolution,John S. Haller Jr.
1972,Nonfiction,The Healing of a Nation,David Loye
1972,Nonfiction,The Autobiography of an Unknown South African,Naboth Mokgatle
1972,Nonfiction,Slavery in the Structure of American Politics,Donald L. Robinson
1971,Nonfiction,A History of the African People,Robert W. July
1971,Nonfiction,Black Freedom,Carleton Mabee
1971,Nonfiction,La Raza,Stan Steiner
1971,Nonfiction,The Death and Rebirth of the Seneca,Anthony F.C. Wallace
1970,Nonfiction,Scottsboro,Dan T. Carter
1970,Nonfiction,Custer Died for Your Sins,Vine Deloria Jr.
1970,Nonfiction,The Negro in Brazilian Society,Florestan Fernandes
1970,Nonfiction,The Great Betrayal,Audrie Girdner
1969,Nonfiction,Negro and White Children,E. Earl Baughman
1969,Fiction,In the Mecca,Gwendolyn Brooks
1969,Nonfiction,The Leo Frank Case,Leonard Dinnerstein
1969,Nonfiction,The American Indian Today,Stuart Levine
1968,Nonfiction,Warrant for Genocide,Norman Cohn
1968,Nonfiction,Children of Crisis,Robert Coles
1968,Nonfiction,The Destruction of the European Jews,Raul Hilberg
1968,Nonfiction,The Jews Among the Nations,Erich Kahler
1967,Nonfiction,The Problem of Slavery in Western Culture,David Brion Davis
1967,Nonfiction,La Vida,Oscar Lewis
1966,Nonfiction,The Unity of Mankind in Greek Thought,H.C. Baldry
1966,Nonfiction,Manchild in the Promised Land,Claude Brown
1966,Nonfiction,The Autobiography of Malcolm X,Malcolm X
1966,Nonfiction,Your Heredity and Environment,Amram Scheinfeld
1965,Nonfiction,Assimilation in American Life,Milton M. Gordon
1965,Nonfiction,The Struggle for Equality,James M. McPherson
1965,Nonfiction,A History of the Jews,Abram L. Sachar
1965,Nonfiction,Mississippi,James W. Silver
1964,Nonfiction,Beyond the Melting Pot,Nathan Glazer
1964,Nonfiction,The New World of Negro Americans,Harold R. Isaacs
1964,Nonfiction,Faith and Prejudice,Bernhard E. Olson
1963,Nonfiction,Mankind Evolving,Theodosius Dobzhansky
1962,Fiction,The Forbidden Man,Gina Allen
1962,Nonfiction,Antislavery,Dwight L. Dumond
1962,Nonfiction,Black Like Me,John Howard Griffin
1961,Nonfiction,"To Sir, With Love",E.R. Braithwaite
1961,Nonfiction,The Reluctant African,Louis E. Lomax
1960,Nonfiction,The Lost Cities of Africa,Basil Davidson
1960,Nonfiction,I Speak for Myself,John Haynes Holmes
1959,Nonfiction,Stride Toward Freedom,Martin Luther King Jr.
1959,Nonfiction,Racial and Cultural Minorities,George Eaton Simpson
1958,Nonfiction,White Mother,Jessie B. Sams
1958,Nonfiction,Handbook on Race Relations,South African Institute of Race Relations
1957,Nonfiction,The Masters and the Slaves,Gilberto Freyre
1957,Nonfiction,Naught for Your Comfort,Trevor Huddleston
1956,Nonfiction,A Manual of Intergroup Relations,John P. Dean
1956,Nonfiction,They Wait in Darkness,George W. Shepherd Jr.
1955,Nonfiction,Report on Africa,Oden Meeker
1955,Nonfiction,Cultural Differences and Medical Care,Lyle Saunders
1954,Nonfiction,Struggle for Africa,Vernon Bartlett
1954,Fiction,Simple Takes a Wife,Langston Hughes
1953,Nonfiction,People of the Deer,Farley Mowat
1953,Nonfiction,A Many-Splendored Thing,Han Suyin
1952,Nonfiction,Race Relations,Brewton Berry
1952,Nonfiction,Venture to the Interior,Laurens van der Post
1951,Nonfiction,Twilight in South Africa,Henry Gibbs
1951,Fiction,The Wall,John Hersey
1950,Nonfiction,Punishment Without Crime,S. Andhil Fineberg
1950,Nonfiction,Your Most Humble Servant,Shirley Graham
1949,Nonfiction,Anatomy of Paradise,J.C. Furnas
1949,Fiction,"Cry, the Beloved Country",Alan Paton
1948,Nonfiction,The Indians of the Americas,John Collier
1948,Fiction,The Other Room,Worth Tuttle Hedden
1947,Fiction,East River,Sholem Asch
1947,Nonfiction,Latin Americans in Texas,Pauline R. Kibbe
1946,Nonfiction,Black Metropolis,St. Clair Drake
1946,Nonfiction,One Nation,Wallace Stegner with the Editors of Look
1945,Fiction,Earth and High Heaven,Gwethalyn Graham
1945,Nonfiction,An American Dilemma,Gunnar Myrdal
1944,Nonfiction,New World A-Coming,Roi Ottley
1944,Nonfiction,The World of Sholom Aleichem,Maurice Samuel
1943,Nonfiction,Dust Tracks on a Road,Zora Neale Hurston
1942,Nonfiction,Quest,Leopold Infeld
1942,Nonfiction,The Haitian People,James G. Leyburn
1941,Nonfiction,From Many Lands,Louis Adamic
1940,Nonfiction,The Negro Family in the United States,E. Franklin Frazier
1939,Nonfiction,Non-European Peoples of South Africa,Ralph J. Bunche
1939,Nonfiction,The Negro College Graduate,Charles S. Johnson
1937,Nonfiction,We Europeans,Julian Huxley
1936,Nonfiction,Negro Politicians,Harold F. Gosnell
